Value,Type
29.45,Original
29.660000000000004,Original
29.629999999999995,Original
29.97,Original
29.690000000000005,Original
32.21,Original
39.370000000000005,Original
40.42000000000001,Original
40.250000000000014,Original
39.52000000000001,Original
40.85000000000001,Original
41.14,Original
40.06,Original
39.89,Original
41.510000000000005,Original
40.140000000000015,Original
39.77000000000001,Original
38.47,Original
30.09,Original
30.59,Original
30.35,Original
29.47,Original
29.740000000000013,Original
29.55000000000001,Original
29.93,Original
29.56,Original
30.379999999999995,Original
33.70000000000001,Original
32.720000000000006,Original
36.65,Original
52.780000000000015,Original
89.98,Original
118.14,Original
123.18,Original
122.79999999999995,Original
125.15999999999998,Original
127.04,Original
127.0,Original
118.50000000000004,Original
105.96000000000004,Original
74.73,Original
45.260000000000005,Original
34.940000000000005,Original
33.47,Original
31.480000000000004,Original
30.88,Original
30.410000000000007,Original
34.260000000000005,Original
29.83000000000001,Original
29.79,Original
29.74,Original
33.440000000000005,Original
34.82,Original
36.720000000000006,Original
50.67,Original
87.74999999999997,Original
119.22,Original
121.81,Original
122.5,Original
122.71999999999996,Original
127.47,Original
126.24,Original
113.13999999999996,Original
90.45999999999998,Original
63.01999999999999,Original
49.46,Original
35.32,Original
34.67,Original
30.58,Original
30.57,Original
30.649999999999995,Original
30.500000000000004,Original
30.930000000000003,Original
31.11,Original
30.8,Original
30.9,Original
30.59,Original
31.5,Original
35.01999999999999,Original
35.099999999999994,Original
35.52000000000001,Original
35.33000000000001,Original
36.02,Original
36.78000000000001,Original
37.69,Original
38.82,Original
39.46,Original
38.81,Original
39.77,Original
41.77,Original
36.98,Original
35.47,Original
34.91,Original
34.470000000000006,Original
33.63,Original
29.71,Original
30.51,Original
29.680000000000007,Original
29.9,Original
30.360000000000003,Original
29.969999999999988,Original
31.540000000000003,Original
34.79,Original
34.34,Original
36.21,Original
35.69,Original
34.84,Original
39.13,Original
39.13000000000001,Original
39.16,Original
37.84000000000001,Original
38.2,Original
37.06000000000001,Original
36.36,Original
38.66,Original
35.27,Original
36.00000000000001,Original
33.78,Original
31.04,Original
29.140000000000008,Original
29.34,Original
29.19000000000001,Original
31.790000000000013,Original
31.940000000000005,Original
34.45,Original
43.17000000000001,Original
58.24999999999999,Original
98.37,Original
137.70999999999995,Original
140.94,Original
147.21,Original
145.24,Original
151.08999999999995,Original
154.63999999999996,Original
143.51999999999998,Original
125.34,Original
85.15999999999998,Original
59.15999999999999,Original
